,RATE A,RATE B,RATE C,Total
07/02/2018 18.00,69.46,,,69.46
07/02/2018 18.15,70.88,,,70.88
07/02/2018 18.30,70.54,,,70.54
07/02/2018 18.45,71.85,,,71.85
07/02/2018 19.00,73.01,,,73.01
07/02/2018 19.15,75.9,,,75.9
07/02/2018 19.30,77.24,,,77.24
07/02/2018 19.45,81.91,,,81.91
07/02/2018 20.00,79.67,,,79.67
07/02/2018 20.15,83.16,,,83.16
07/02/2018 20.30,82.38,,,82.38
07/02/2018 20.45,88.2,,,88.2
07/02/2018 21.00,89.98,,,89.98
07/02/2018 21.15,90.91,,,90.91
07/02/2018 21.30,96.22,,,96.22
07/02/2018 21.45,103.43,,,103.43
